aed,aud,bnd,cad,chf,cny,egp,eur,gbp,hkd,idr,inr,jpy,khr,krw,mmk,npr,nzd,php,pkr,sar,sgd,thb,twd,usd,vnd,xdr,date
,,,,3.1027,,,4.8876,7.2411,0.488998,,,0.035963,,,,,,,,,2.2686,,,3.8,,,2004-02-18
,,,,3.0665,,,4.8333,7.1839,0.488998,,,0.035696,,,,,,,,,2.2619,,,3.8,,,2004-02-19
,,,,3.0731,,,4.8426,7.2098,0.488878,,,0.035473,,,,,,,,,2.2573,,,3.8,,,2004-02-20
,,,,3.0221,,,4.771,7.0922,0.488663,,,0.035031,,,,,,,,,2.2396,,,3.8,,,2004-02-24
,,,,3.059,,,4.817,7.1736,0.488544,,,0.035109,,,,,,,,,2.2497,,,3.8,,,2004-02-25
,,,,3.0175,,,4.7506,7.1174,0.488377,,,0.034854,,,,,,,,,2.2416,,,3.8,,,2004-02-26
,,,,3.0003,,,4.7281,7.0771,0.488186,,,0.034676,,,,,,,,,2.2302,,,3.8,,,2004-02-27
,,,,3.0184,,,4.7596,7.1225,0.488305,,,0.034775,,,,,,,,,2.2361,,,3.8,,,2004-03-01
,,,,2.9958,,,4.7281,7.0972,0.488162,,,0.034869,,,,,,,,,2.2351,,,3.8,,,2004-03-02
,,,,2.9274,,,4.6361,6.9881,0.487995,,,0.034491,,,,,,,,,2.2247,,,3.8,,,2004-03-03
,,,,2.93,,,4.6232,6.9396,0.487638,,,0.034491,,,,,,,,,2.2217,,,3.8,,,2004-03-04
,,,,2.9377,,,4.6339,6.9204,0.487615,,,0.034119,,,,,,,,,2.2129,,,3.8,,,2004-03-05
,,,,2.9753,,,4.697,7.0077,0.488043,,,0.033877,,,,,,,,,2.2183,,,3.8,,,2004-03-08
,,,,2.9842,,,4.7192,7.0373,0.487805,,,0.034127,,,,,,,,,2.2297,,,3.8,,,2004-03-09
,,,,2.9647,,,4.6795,6.9444,0.48771,,,0.034151,,,,,,,,,2.2282,,,3.8,,,2004-03-10
,,,,2.9464,,,4.6404,6.8493,0.487662,,,0.034248,,,,,,,,,2.2183,,,3.8,,,2004-03-11
,,,,2.9976,,,4.6882,6.8776,0.487424,,,0.03426,,,,,,,,,2.2227,,,3.8,,,2004-03-12
,,,,2.9674,,,4.6468,6.8446,0.487638,,,0.034284,,,,,,,,,2.2178,,,3.8,,,2004-03-15
,,,,2.9771,,,4.6555,6.8493,0.487638,,,0.034475,,,,,,,,,2.2252,,,3.8,,,2004-03-16
,,,,2.9753,,,4.6555,6.8871,0.487734,,,0.034915,,,,,,,,,2.2341,,,3.8,,,2004-03-17
,,,,2.9797,,,4.6555,6.9252,0.487734,,,0.035146,,,,,,,,,2.2401,,,3.8,,,2004-03-18
,,,,3.0221,,,4.7125,6.9735,0.487638,,,0.035496,,,,,,,,,2.2497,,,3.8,,,2004-03-19
,,,,2.9851,,,4.6577,6.9589,0.487543,,,0.035446,,,,,,,,,2.2457,,,3.8,,,2004-03-22
,,,,3.0184,,,4.6838,7.0175,0.487543,,,0.035562,,,,,,,,,2.2492,,,3.8,,,2004-03-23
,,,,3.0285,,,4.697,7.0373,0.487543,,,0.035559,,,,,,,,,2.2497,,,3.8,,,2004-03-24
,,,,2.9718,,,4.6062,6.9348,0.487424,,,0.035847,,,,,,,,,2.2477,,,3.8,,,2004-03-25
,,,,2.9727,,,4.6147,6.8729,0.487377,,,0.035898,,,,,,,,,2.2487,,,3.8,,,2004-03-26
,,,,2.9551,,,4.6041,6.8918,0.487377,,,0.035966,,,,,,,,,2.2487,,,3.8,,,2004-03-29
